_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68f1d6d7c2c5004cd44f8c3a,,72.39,93.07,76.39,61.3,181;2;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760679639000
68f109b6c2c5004cd447f8ac,,58,91.98,59.6,57.64,145;1;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760627126000
68f108a5c2c5004cd447e8f4,,82,94.98,82,64.79,205;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760626853000
68f10883c2c5004cd447e722,,79.19,94.76,79.19,65.6,198;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760626819000
68f1084cc2c5004cd447e3e0,,65.2,89.67,65.2,61.96,163;0;0;0,time,30,-1,6,30,0,77.03,false,false,english,,normal,false,false,false,,1760626764000
68f107b1c2c5004cd447dad3,,79.6,96.71,83.2,72.7,199;1;0;2,time,30,-1,4,30,0,12.37,false,false,english,,normal,false,false,false,,1760626609000
68f1077ec2c5004cd447d7ed,,67.2,90.86,67.2,63.14,168;0;0;0,time,30,-1,2,30,0,22.62,false,false,english,,normal,false,false,false,,1760626558000
68f1072fc2c5004cd447d372,,70.8,92.72,77.59,64.59,177;4;0;0,time,30,-1,1,30,0,7.35,false,false,english,,normal,false,false,false,,1760626479000
68ef9e15c2c5004cd439439d,,71.2,92.89,74,63.62,178;4;1;0,time,30,-1,1,30,0,3.4,false,false,english,,normal,false,false,false,,1760534037000
68ef9defc2c5004cd4394191,,71.6,93.37,73.2,68.21,179;1;0;2,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1760533999000
68ef9dcec2c5004cd4393ffb,,62.8,90.32,68.4,65.82,157;2;0;2,time,30,-1,1,30,0,10.4,false,false,english,,normal,false,false,false,,1760533966000
